Time::Relative Time!!R,Channel1_R1_Area::EGFP_R1_Area!!R,Channel1_R1_IntensityMean::EGFP_R1_IntensityMean!!R,Channel1_R1_IntensitySum1::EGFP_R1_IntensitySum1!!R,Channel1_R1_IntensityMaximum::EGFP_R1_IntensityMaximum!!R,Channel1_R2_Area::EGFP_R2_Area!!R,Channel1_R2_IntensityMean::EGFP_R2_IntensityMean!!R,Channel1_R2_IntensitySum1::EGFP_R2_IntensitySum1!!R,Channel1_R2_IntensityMaximum::EGFP_R2_IntensityMaximum!!R,Channel1_R3_Area::EGFP_R3_Area!!R,Channel1_R3_IntensityMean::EGFP_R3_IntensityMean!!R,Channel1_R3_IntensitySum1::EGFP_R3_IntensitySum1!!R,Channel1_R3_IntensityMaximum::EGFP_R3_IntensityMaximum!!R,Channel1_R4_Area::EGFP_R4_Area!!R,Channel1_R4_IntensityMean::EGFP_R4_IntensityMean!!R,Channel1_R4_IntensitySum1::EGFP_R4_IntensitySum1!!R,Channel1_R4_IntensityMaximum::EGFP_R4_IntensityMaximum!!R,Channel1_R5_Area::EGFP_R5_Area!!R,Channel1_R5_IntensityMean::EGFP_R5_IntensityMean!!R,Channel1_R5_IntensitySum1::EGFP_R5_IntensitySum1!!R,Channel1_R5_IntensityMaximum::EGFP_R5_IntensityMaximum!!R,Channel1_R6_Area::EGFP_R6_Area!!R,Channel1_R6_IntensityMean::EGFP_R6_IntensityMean!!R,Channel1_R6_IntensitySum1::EGFP_R6_IntensitySum1!!R,Channel1_R6_IntensityMaximum::EGFP_R6_IntensityMaximum!!R,Channel1_R7_Area::EGFP_R7_Area!!R,Channel1_R7_IntensityMean::EGFP_R7_IntensityMean!!R,Channel1_R7_IntensitySum1::EGFP_R7_IntensitySum1!!R,Channel1_R7_IntensityMaximum::EGFP_R7_IntensityMaximum!!R,Channel1_R8_Area::EGFP_R8_Area!!R,Channel1_R8_IntensityMean::EGFP_R8_IntensityMean!!R,Channel1_R8_IntensitySum1::EGFP_R8_IntensitySum1!!R,Channel1_R8_IntensityMaximum::EGFP_R8_IntensityMaximum!!R,Channel1_R9_Area::EGFP_R9_Area!!R,Channel1_R9_IntensityMean::EGFP_R9_IntensityMean!!R,Channel1_R9_IntensitySum1::EGFP_R9_IntensitySum1!!R,Channel1_R9_IntensityMaximum::EGFP_R9_IntensityMaximum!!R,Channel1_R10_Area::EGFP_R10_Area!!R,Channel1_R10_IntensityMean::EGFP_R10_IntensityMean!!R,Channel1_R10_IntensitySum1::EGFP_R10_IntensitySum1!!R,Channel1_R10_IntensityMaximum::EGFP_R10_IntensityMaximum!!R,Channel1_R11_Area::EGFP_R11_Area!!R,Channel1_R11_IntensityMean::EGFP_R11_IntensityMean!!R,Channel1_R11_IntensitySum1::EGFP_R11_IntensitySum1!!R,Channel1_R11_IntensityMaximum::EGFP_R11_IntensityMaximum!!R,Channel1_R12_Area::EGFP_R12_Area!!R,Channel1_R12_IntensityMean::EGFP_R12_IntensityMean!!R,Channel1_R12_IntensitySum1::EGFP_R12_IntensitySum1!!R,Channel1_R12_IntensityMaximum::EGFP_R12_IntensityMaximum!!R,Channel1_R13_Area::EGFP_R13_Area!!R,Channel1_R13_IntensityMean::EGFP_R13_IntensityMean!!R,Channel1_R13_IntensitySum1::EGFP_R13_IntensitySum1!!R,Channel1_R13_IntensityMaximum::EGFP_R13_IntensityMaximum!!R,Channel1_R14_Area::EGFP_R14_Area!!R,Channel1_R14_IntensityMean::EGFP_R14_IntensityMean!!R,Channel1_R14_IntensitySum1::EGFP_R14_IntensitySum1!!R,Channel1_R14_IntensityMaximum::EGFP_R14_IntensityMaximum!!R,Channel1_R15_Area::EGFP_R15_Area!!R,Channel1_R15_IntensityMean::EGFP_R15_IntensityMean!!R,Channel1_R15_IntensitySum1::EGFP_R15_IntensitySum1!!R,Channel1_R15_IntensityMaximum::EGFP_R15_IntensityMaximum!!R
"Ms",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3150.16,423.1008583691,3154640,554,2705.2675,333.24988286741,2133799,445,2344.875,360.43693693694,2000425,475,3060.59,387.18152954169,2804743,487,3070.3075,361.8809687629,2629789,465,3358.4525,455.62271983897,3621745,608,3056.365,472.0816975394,3415039,611,2256.5725,464.22580041191,2479430,590,2345.72,340.54106628242,1890684,451,2183.9025,337.88256916231,1746515,432,2258.685,352.69865319865,1885527,512,2197,371.52461538462,1931928,504,2698.5075,408.04446532018,2606180,507,2863.2825,450.86955880183,3055543,563,2710.3375,416.30849571317,2670619,527
10.0075,3150.16,419.79707618026,3130007,572,2705.2675,329.90035920662,2112352,445,2344.875,368.74252252252,2046521,474,3060.59,395.8753451132,2867721,525,3070.3075,369.25498830329,2683376,470,3358.4525,468.18970939741,3721640,627,3056.365,482.70376002212,3491879,611,2256.5725,466.15615053361,2489740,580,2345.72,340.98703170029,1893160,446,2183.9025,344.04546333914,1778371,451,2258.685,354.09240553685,1892978,489,2197,372.11153846154,1934980,479,2698.5075,419.65132299984,2680313,539,2863.2825,447.81186365649,3034821,560,2710.3375,427.28464536243,2741031,537
20.0149,3150.16,428.8607832618,3197586,559,2705.2675,334.76104950804,2143475,431,2344.875,363.65783783784,2018301,505,3060.59,393.4255935947,2849975,535,3070.3075,365.90078436769,2659001,462,3358.4525,464.48144420682,3692163,625,3056.365,477.64100082942,3455255,603,2256.5725,469.41827373151,2507163,592,2345.72,341.2726945245,1894746,444,2183.9025,338.64809440898,1750472,459,2258.685,354.74279835391,1896455,487,2197,373.1,1940120,482,2698.5075,416.48645686551,2660099,515,2863.2825,458.45610151985,3106957,578,2710.3375,424.98581449727,2726284,538
30.0224,3150.16,424.99597639485,3168770,589,2705.2675,332.55130407621,2129326,429,2344.875,370.31495495496,2055248,492,3060.59,401.84055770293,2910933,526,3070.3075,374.1124260355,2718675,479,3358.4525,476.1744873569,3785111,649,3056.365,488.25601327067,3532044,619,2256.5725,471.0299569369,2515771,587,2345.72,341.39247118156,1895411,450,2183.9025,344.89475720642,1782761,444,2258.685,354.99102132436,1897782,496,2197,373.77038461539,1943606,480,2698.5075,424.49491153906,2711249,530,2863.2825,455.79902611775,3088950,588,2710.3375,434.41777084957,2786790,557
40.0298,3150.16,434.1732832618,3237196,571,2705.2675,336.66921755427,2155693,443,2344.875,365.07621621622,2026173,513,3060.59,398.73150193263,2888411,516,3070.3075,369.99683500757,2688767,464,3358.4525,471.14416907787,3745125,621,3056.365,482.17058335637,3488022,636,2256.5725,471.87979779068,2520310,579,2345.72,342.4492074928,1901278,447,2183.9025,339.55581350358,1755164,448,2258.685,354.96296296296,1897632,519,2197,373.13538461539,1940304,489,2698.5075,420.8374823861,2687889,531,2863.2825,465.70606463037,3156090,589,2710.3375,431.49088074825,2768014,556
50.0373,3150.16,428.83704399142,3197409,580,2705.2675,334.20662189599,2139925,426,2344.875,371.76882882883,2063317,490,3060.59,407.36940916621,2950984,536,3070.3075,378.0012384753,2746935,473,3358.4525,483.19826393257,3840943,641,3056.365,492.35029029583,3561662,638,2256.5725,474.64238906572,2535065,597,2345.72,341.89733429395,1898214,447,2183.9025,344.91023408783,1782841,448,2258.685,354.81930415264,1896864,494,2197,376.02057692308,1955307,482,2698.5075,428.27775168311,2735410,535,2863.2825,462.62092371256,3135182,587,2710.3375,439.59781761497,2820020,557
60.0448,3150.16,438.64444742489,3270533,582,2705.2675,337.73231297829,2162500,444,2344.875,366.62756756757,2034783,490,3060.59,403.28685808945,2921410,518,3070.3075,374.07031787533,2718369,476,3358.4525,477.3826896465,3794715,644,3056.365,485.68896875864,3513474,611,2256.5725,475.45946451975,2539429,578,2345.72,343.46397694525,1906912,462,2183.9025,339.66415167344,1755724,479,2258.685,356.2734754957,1904638,490,2197,373.84769230769,1944008,483,2698.5075,425.5179270393,2717783,544,2863.2825,471.53947174266,3195623,593,2710.3375,437.31239282931,2805359,552
70.0522,3150.16,433.05244098712,3228839,582,2705.2675,335.49305013275,2148162,435,2344.875,372.30810810811,2066310,486,3060.59,411.75938707896,2982785,529,3070.3075,381.4740608229,2772172,473,3358.4525,488.26280035225,3881201,657,3056.365,496.12952723251,3589001,615,2256.5725,478.51376146789,2555742,594,2345.72,342.26999279539,1900283,460,2183.9025,345.61733410718,1786496,472,2258.685,355.67620650954,1901445,480,2197,376.48615384615,1957728,494,2698.5075,431.78503209645,2757811,551,2863.2825,468.59672421425,3175680,586,2710.3375,444.09384255651,2848862,570
80.0597,3150.16,442.50402360515,3299310,613,2705.2675,339.57988442917,2174330,446,2344.875,368.08396396396,2042866,497,3060.59,407.42959690779,2951420,527,3070.3075,377.13967249209,2740674,473,3358.4525,483.31639199899,3841882,641,3056.365,488.70085706387,3535262,612,2256.5725,478.22074517881,2554177,600,2345.72,344.26332853026,1911350,451,2183.9025,340.33700909267,1759202,459,2258.685,357.2796483352,1910017,483,2197,375.32230769231,1951676,484,2698.5075,429.65085329576,2744180,542,2863.2825,475.73277261325,3224041,591,2710.3375,443.15042868278,2842810,562
90.0671,3150.16,436.41443133047,3253906,574,2705.2675,337.44682180228,2160672,466,2344.875,373.15441441441,2071007,488,3060.59,417.08199889564,3021342,541,3070.3075,384.84133755332,2796642,477,3358.4525,493.33991697069,3921559,671,3056.365,499.28435167266,3611823,648,2256.5725,481.92510765774,2573962,603,2345.72,342.76675072046,1903041,447,2183.9025,346.53859547301,1791258,464,2258.685,355.170781893,1898743,481,2197,378.36673076923,1967507,486,2698.5075,435.74479411304,2783102,533,2863.2825,475.33539914416,3221348,595,2710.3375,448.86780982073,2879487,571
100.0746,3150.16,445.1893776824,3319332,595,2705.2675,339.61486803061,2174554,438,2344.875,369.53315315315,2050909,489,3060.59,411.47266703479,2980708,535,3070.3075,379.59240401816,2758498,480,3358.4525,488.11133475909,3879997,641,3056.365,491.77619574233,3557509,659,2256.5725,481.31847968545,2570722,585,2345.72,345.04070605187,1915666,462,2183.9025,340.25478816019,1758777,472,2258.685,356.89132061354,1907941,488,2197,374.92384615385,1949604,472,2698.5075,433.13918897761,2766460,531,2863.2825,480.23771580345,3254571,606,2710.3375,447.84240062354,2872909,577
110.0821,3150.16,439.58690987125,3277560,567,2705.2675,339.1230673122,2171405,429,2344.875,373.5945945946,2073450,491,3060.59,420.19643843181,3043903,533,3070.3075,387.1272877391,2813254,524,3358.4525,497.27965781859,3952876,661,3056.365,500.81296654686,3622881,673,2256.5725,484.78150159146,2589218,610,2345.72,342.46595821326,1901371,443,2183.9025,346.52157090346,1791170,456,2258.685,355.74915824916,1901835,480,2197,379.07519230769,1971191,487,2698.5075,438.04321277595,2797782,539,2863.2825,479.76980965029,3251400,611,2710.3375,452.55541699143,2903143,591
120.0895,3150.16,448.5838251073,3344641,605,2705.2675,340.7004529127,2181505,448,2344.875,371.03765765766,2059259,492,3060.59,415.50234676974,3009899,536,3070.3075,381.49126186872,2772297,476,3358.4525,492.96049817587,3918543,660,3056.365,494.59773292784,3577920,640,2256.5725,482.60831304999,2577611,592,2345.72,345.16336455331,1916347,453,2183.9025,342.2538208551,1769110,501,2258.685,358.28526000748,1915393,503,2197,376.48403846154,1957717,482,2698.5075,437.35744480977,2793402,545,2863.2825,485.02641286705,3287024,600,2710.3375,452.31551052221,2901604,586
130.097,3150.16,442.19916845494,3297037,593,2705.2675,339.25972200531,2172280,442,2344.875,374.29801801802,2077354,485,3060.59,423.11057426836,3065013,559,3070.3075,388.60822898032,2824016,493,3358.4525,500.88124292364,3981505,659,3056.365,503.0132706663,3638798,669,2256.5725,486.24134057293,2597015,600,2345.72,342.41912824208,1901111,472,2183.9025,346.58560650029,1791501,456,2258.685,355.67358772914,1901431,521,2197,379.13923076923,1971524,497,2698.5075,440.60341318303,2814134,546,2863.2825,484.44105061237,3283057,608,2710.3375,455.53281371785,2922243,583
140.1044,3150.16,450.34388412017,3357764,615,2705.2675,340.61143214118,2180935,455,2344.875,371.35927927928,2061044,488,3060.59,417.57482054114,3024912,539,3070.3075,383.60533920462,2787660,475,3358.4525,497.16480060385,3951963,646,3056.365,495.84876969865,3586970,646,2256.5725,483.5238719341,2582501,599,2345.72,345.57474783862,1918631,469,2183.9025,341.52621396789,1765349,458,2258.685,358.2265245043,1915079,487,2197,375.91634615385,1954765,482,2698.5075,439.67214654768,2808186,539,2863.2825,488.24922532094,3308865,611,2710.3375,455.24505066251,2920397,577
