Time::Relative Time!!R,Channel1_R1_Area::EGFP_R1_Area!!R,Channel1_R1_IntensityMean::EGFP_R1_IntensityMean!!R,Channel1_R1_IntensitySum1::EGFP_R1_IntensitySum1!!R,Channel1_R1_IntensityMaximum::EGFP_R1_IntensityMaximum!!R,Channel1_R2_Area::EGFP_R2_Area!!R,Channel1_R2_IntensityMean::EGFP_R2_IntensityMean!!R,Channel1_R2_IntensitySum1::EGFP_R2_IntensitySum1!!R,Channel1_R2_IntensityMaximum::EGFP_R2_IntensityMaximum!!R,Channel1_R3_Area::EGFP_R3_Area!!R,Channel1_R3_IntensityMean::EGFP_R3_IntensityMean!!R,Channel1_R3_IntensitySum1::EGFP_R3_IntensitySum1!!R,Channel1_R3_IntensityMaximum::EGFP_R3_IntensityMaximum!!R,Channel1_R4_Area::EGFP_R4_Area!!R,Channel1_R4_IntensityMean::EGFP_R4_IntensityMean!!R,Channel1_R4_IntensitySum1::EGFP_R4_IntensitySum1!!R,Channel1_R4_IntensityMaximum::EGFP_R4_IntensityMaximum!!R,Channel1_R5_Area::EGFP_R5_Area!!R,Channel1_R5_IntensityMean::EGFP_R5_IntensityMean!!R,Channel1_R5_IntensitySum1::EGFP_R5_IntensitySum1!!R,Channel1_R5_IntensityMaximum::EGFP_R5_IntensityMaximum!!R,Channel1_R6_Area::EGFP_R6_Area!!R,Channel1_R6_IntensityMean::EGFP_R6_IntensityMean!!R,Channel1_R6_IntensitySum1::EGFP_R6_IntensitySum1!!R,Channel1_R6_IntensityMaximum::EGFP_R6_IntensityMaximum!!R,Channel1_R7_Area::EGFP_R7_Area!!R,Channel1_R7_IntensityMean::EGFP_R7_IntensityMean!!R,Channel1_R7_IntensitySum1::EGFP_R7_IntensitySum1!!R,Channel1_R7_IntensityMaximum::EGFP_R7_IntensityMaximum!!R,Channel1_R8_Area::EGFP_R8_Area!!R,Channel1_R8_IntensityMean::EGFP_R8_IntensityMean!!R,Channel1_R8_IntensitySum1::EGFP_R8_IntensitySum1!!R,Channel1_R8_IntensityMaximum::EGFP_R8_IntensityMaximum!!R,Channel1_R9_Area::EGFP_R9_Area!!R,Channel1_R9_IntensityMean::EGFP_R9_IntensityMean!!R,Channel1_R9_IntensitySum1::EGFP_R9_IntensitySum1!!R,Channel1_R9_IntensityMaximum::EGFP_R9_IntensityMaximum!!R,Channel1_R10_Area::EGFP_R10_Area!!R,Channel1_R10_IntensityMean::EGFP_R10_IntensityMean!!R,Channel1_R10_IntensitySum1::EGFP_R10_IntensitySum1!!R,Channel1_R10_IntensityMaximum::EGFP_R10_IntensityMaximum!!R,Channel1_R11_Area::EGFP_R11_Area!!R,Channel1_R11_IntensityMean::EGFP_R11_IntensityMean!!R,Channel1_R11_IntensitySum1::EGFP_R11_IntensitySum1!!R,Channel1_R11_IntensityMaximum::EGFP_R11_IntensityMaximum!!R,Channel1_R12_Area::EGFP_R12_Area!!R,Channel1_R12_IntensityMean::EGFP_R12_IntensityMean!!R,Channel1_R12_IntensitySum1::EGFP_R12_IntensitySum1!!R,Channel1_R12_IntensityMaximum::EGFP_R12_IntensityMaximum!!R
"Ms",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1099.7675,299.36995774107,779260,375,1107.3725,349.98512018314,917311,440,1103.9925,338.44814389591,884365,438,1103.9925,364.68388825105,952919,450,1100.19,343.66858678956,894913,454,1103.57,356.26339969372,930560,461,1104.8375,379.44168260038,992240,481,1109.9075,342.71526456034,900313,458,1110.33,344.31202435312,904852,429,1108.2175,324.97331300038,852405,413,1109.485,353.93678598629,929438,446,1099.345,368.13066871637,957876,457
10.0075,1099.7675,299.15213215521,778693,385,1107.3725,349.74475391072,916681,432,1103.9925,337.62265595101,882208,435,1103.9925,365.70952927669,955599,446,1100.19,343.02995391705,893250,447,1103.57,354.45865237366,925846,443,1104.8375,376.11128107075,983531,469,1109.9075,341.82527598021,897975,442,1110.33,344.10235920852,904301,433,1108.2175,324.38963019443,850874,416,1109.485,352.62376237624,925990,434,1099.345,367.16910069178,955374,462
20.0149,1099.7675,299.09681137149,778549,377,1107.3725,348.66692102251,913856,443,1103.9925,336.4389590509,879115,439,1103.9925,363.34672789897,949425,463,1100.19,341.10983102919,888250,431,1103.57,352.27565084227,920144,453,1104.8375,373.05583173996,975541,462,1109.9075,339.26608298439,891252,441,1110.33,342.34284627093,899677,434,1108.2175,321.91917651544,844394,413,1109.485,352.76961157654,926373,436,1099.345,366.37663335896,953312,453
30.0224,1099.7675,299.45870149827,779491,384,1107.3725,348.14841663487,912497,424,1103.9925,335.7543053961,877326,449,1103.9925,363.66704936854,950262,451,1100.19,339.5034562212,884067,430,1103.57,349.2595712098,912266,455,1104.8375,367.06271510516,959869,454,1109.9075,336.92044156833,885090,431,1110.33,342.68493150685,900576,435,1108.2175,319.84864658788,838963,411,1109.485,351.97143945164,924277,448,1099.345,363.51498847041,945866,462
40.0298,1099.7675,298.26661544372,776388,375,1107.3725,346.68676077833,908666,435,1103.9925,335.23268274015,875963,463,1103.9925,362.791427478,947974,440,1100.19,337.19162826421,878047,435,1103.57,346.26607963247,904447,426,1104.8375,364.19808795411,952378,451,1109.9075,335.09897221165,880305,420,1110.33,340.60197869102,895102,420,1108.2175,317.21082729699,832044,410,1109.485,351.38042650419,922725,430,1099.345,364.53151421983,948511,440
50.0373,1099.7675,298.54129850173,777103,372,1107.3725,346.68981304846,908674,448,1103.9925,335.01109835438,875384,453,1103.9925,362.94374282434,948372,444,1100.19,335.37596006144,873319,419,1103.57,343.20022970904,896439,459,1104.8375,359.07456978968,938980,460,1109.9075,331.95812714123,872054,435,1110.33,339.90334855403,893266,412,1108.2175,315.10217308426,826513,416,1109.485,350.07159177456,919288,424,1099.345,360.81283627979,938835,464
60.0448,1099.7675,297.70265078755,774920,366,1107.3725,346.29950400611,907651,437,1103.9925,335.01683888251,875399,435,1103.9925,362.52200535783,947270,451,1100.19,332.43625192012,865664,420,1103.57,340.79134762634,890147,419,1104.8375,356.08030592734,931150,452,1109.9075,330.56261895699,868388,443,1110.33,338.31849315069,889101,423,1108.2175,313.19329012581,821506,391,1109.485,349.17479055598,916933,434,1099.345,358.93351268255,933945,450
70.0522,1099.7675,297.29658086823,773863,378,1107.3725,345.60434948493,905829,448,1103.9925,333.50019135094,871436,456,1103.9925,361.76961347111,945304,444,1100.19,331.94278033794,864379,431,1103.57,337.36102603369,881187,421,1104.8375,352.60305927342,922057,438,1109.9075,328.52226874762,863028,429,1110.33,337.90334855403,888010,413,1108.2175,310.62866946245,814779,405,1109.485,348.18392993146,914331,442,1099.345,356.56418139892,927780,430
80.0597,1099.7675,297.0295812524,773168,377,1107.3725,343.75429225487,900980,426,1103.9925,332.76004592423,869502,435,1103.9925,360.49904324531,941984,447,1100.19,329.65821812596,858430,423,1103.57,333.82465543645,871950,441,1104.8375,349.28604206501,913383,439,1109.9075,325.85192234488,856013,411,1110.33,336.06582952816,883181,415,1108.2175,307.59778879146,806829,386,1109.485,347.60662604722,912815,440,1099.345,354.04227517294,921218,448
90.0671,1099.7675,296.92700729927,772901,370,1107.3725,343.24456314384,899644,435,1103.9925,329.65824722541,861397,428,1103.9925,360.35629544585,941611,443,1100.19,327.01497695853,851547,435,1103.57,330.75574272588,863934,419,1104.8375,345.38164435947,903173,430,1109.9075,323.81309478493,850657,400,1110.33,334.67808219178,879534,407,1108.2175,305.86923370187,802295,384,1109.485,346.12985529322,908937,427,1099.345,351.74289008455,915235,434
100.0746,1099.7675,295.09489051095,768132,367,1107.3725,340.6592903472,892868,411,1103.9925,327.59012629162,855993,436,1103.9925,358.75239188672,937420,457,1100.19,324.18778801843,844185,401,1103.57,327.27526799387,854843,420,1104.8375,343.02294455067,897005,424,1109.9075,322.55310239817,847347,403,1110.33,333.0304414003,875204,418,1108.2175,302.59626382005,793710,381,1109.485,345.41660319878,907064,444,1099.345,350.56149116065,912161,441
110.0821,1099.7675,295.54129850173,769294,369,1107.3725,337.37695536055,884265,419,1103.9925,323.44737849216,845168,421,1103.9925,357.89284347493,935174,447,1100.19,322.70468509985,840323,396,1103.57,324.40007656968,847333,411,1104.8375,339.12695984704,886817,442,1109.9075,319.8469737343,840238,404,1110.33,332.5003805175,873811,422,1108.2175,301.54060236371,790941,396,1109.485,343.6058644326,902309,432,1099.345,347.33858570331,903775,449
120.0895,1099.7675,293.95274683058,765159,381,1107.3725,332.76115986265,872167,418,1103.9925,320.46153846154,837366,427,1103.9925,357.21546115576,933404,442,1100.19,319.8955453149,833008,421,1103.57,322.31776416539,841894,406,1104.8375,337.57131931166,882749,416,1109.9075,318.01979444233,835438,394,1110.33,330.74200913242,869190,409,1108.2175,299.90621425848,786654,375,1109.485,342.9006092917,900457,424,1099.345,346.34396617986,901187,429
130.097,1099.7675,293.38916634652,763692,378,1107.3725,329.40709652804,863376,412,1103.9925,314.90738614619,822853,401,1103.9925,356.64791427478,931921,438,1100.19,318.24884792627,828720,402,1103.57,320.50038284839,837147,392,1104.8375,334.82179732314,875559,437,1109.9075,317.3669585078,833723,404,1110.33,330.2701674277,867950,417,1108.2175,298.76934807472,783672,373,1109.485,340.59482102056,894402,417,1099.345,344.71752498078,896955,418
140.1044,1099.7675,292.8647714176,762327,383,1107.3725,324.14002289203,849571,400,1103.9925,310.55032529659,811468,412,1103.9925,355.20206659013,928143,436,1100.19,316.4811827957,824117,431,1103.57,317.66117917305,829731,408,1104.8375,334.09177820268,873650,409,1109.9075,316.24476589265,830775,389,1110.33,329.76560121766,866624,403,1108.2175,296.79832253145,778502,376,1109.485,340.07083015994,893026,424,1099.345,343.15372790161,892886,439
150.1119,1099.7675,292.29350749136,760840,366,1107.3725,321.55475009538,842795,404,1103.9925,305.72407194795,798857,407,1103.9925,353.4420206659,923544,441,1100.19,314.97811059908,820203,402,1103.57,315.86485451761,825039,400,1104.8375,331.60458891013,867146,407,1109.9075,314.91282832128,827276,393,1110.33,328.08751902588,862214,412,1108.2175,295.71292413267,775655,395,1109.485,339.19459253618,890725,419,1099.345,341.23443504996,887892,419
160.1193,1099.7675,290.77295428352,756882,361,1107.3725,316.77565814575,830269,405,1103.9925,301.97588978186,789063,380,1103.9925,352.95943360123,922283,435,1100.19,312.9331797235,814878,393,1103.57,314.54632465544,821595,386,1104.8375,331.34684512428,866472,446,1109.9075,314.43738104302,826027,391,1110.33,328.21156773212,862540,420,1108.2175,293.78421654594,770596,371,1109.485,338.93335872049,890039,428,1099.345,340.36664104535,885634,423
170.1268,1099.7675,288.99423741836,752252,374,1107.3725,313.38115223197,821372,389,1103.9925,296.89322617681,775782,371,1103.9925,352.43398392652,920910,435,1100.19,311.93855606759,812288,401,1103.57,311.27679938744,813055,400,1104.8375,328.07036328872,857904,408,1109.9075,313.58241339932,823781,399,1110.33,326.65905631659,858460,407,1108.2175,293.77887914602,770582,373,1109.485,337.00076161462,884964,424,1099.345,338.19177555726,879975,428
180.1343,1099.7675,288.92354975029,752068,372,1107.3725,308.83670354826,809461,384,1103.9925,293.64906238041,767305,376,1103.9925,351.26750861079,917862,437,1100.19,310.01382488479,807276,395,1103.57,309.94984686064,809589,392,1104.8375,327.42370936903,856213,419,1109.9075,312.82032736962,821779,387,1110.33,325.5601217656,855572,396,1108.2175,292.42584826535,767033,361,1109.485,336.10510281797,882612,410,1099.345,337.61375864719,878471,446
190.1417,1099.7675,288.51133307722,750995,358,1107.3725,306.41358260206,803110,380,1103.9925,289.57634902411,756663,371,1103.9925,349.81477229238,914066,434,1100.19,308.74270353303,803966,391,1103.57,308.81929555896,806636,391,1104.8375,326.84206500956,854692,409,1109.9075,312.20898363152,820173,389,1110.33,325.74429223744,856056,404,1108.2175,292.64468166222,767607,356,1109.485,334.39565879665,878123,428,1099.345,336.35472713298,875195,432
200.1492,1099.7675,287.70802919708,748904,363,1107.3725,302.59175887066,793093,368,1103.9925,286.10830463069,747601,369,1103.9925,350.15575966322,914957,429,1100.19,307.91935483871,801822,389,1103.57,307.72013782542,803765,390,1104.8375,324.92351816444,849675,397,1109.9075,311.82299200609,819159,404,1110.33,324.74162861492,853421,395,1108.2175,291.21883339687,763867,366,1109.485,334.16603198781,877520,429,1099.345,334.52574942352,870436,415
210.1566,1099.7675,287.51594314253,748404,364,1107.3725,300.61312476154,787907,371,1103.9925,281.84462303865,736460,373,1103.9925,348.77344048986,911345,440,1100.19,307.34984639017,800339,400,1103.57,305.94984686064,799141,381,1104.8375,323.6569789675,846363,410,1109.9075,310.1377997716,814732,390,1110.33,324.40525114155,852537,413,1108.2175,290.42813572246,761793,367,1109.485,332.93450114242,874286,408,1099.345,335.54035357417,873076,412
220.1641,1099.7675,286.7595082597,746435,365,1107.3725,296.46127432278,777025,395,1103.9925,279.27171833142,729737,378,1103.9925,348.70991197857,911179,421,1100.19,305.04646697389,794341,407,1103.57,305.10987748852,796947,388,1104.8375,323.06806883365,844823,393,1109.9075,310.9543205177,816877,390,1110.33,324.06811263318,851651,395,1108.2175,290.10522302707,760946,372,1109.485,332.90213252094,874201,408,1099.345,333.99116064566,869045,413
230.1716,1099.7675,287.1263926239,747390,377,1107.3725,295.10110644792,773460,399,1103.9925,275.79181017987,720644,359,1103.9925,347.05778798316,906862,445,1100.19,304.87019969278,793882,394,1103.57,303.49617151608,792732,374,1104.8375,321.59808795411,840979,413,1109.9075,309.33307955843,812618,385,1110.33,323.15144596651,849242,392,1108.2175,289.90125810141,760411,363,1109.485,331.70982482864,871070,404,1099.345,332.03535741737,863956,425
