"Time","R1","R2","R3","R4","R5","R6","R7","R8","R9","R10","R11","R12","R13","R14"
0,187.66689243028,387.17378292099,176.65548865585,168.44553981241,167.48435004791,179.78306625209,184.27819668861,351.81547239068,184.42440677966,340.82815057283,176.81912134392,213.6833386556,184.81743152187,182.6326538753
10.0075,187.42533864542,387.08212290503,176.17345189202,170.1467970465,169.475966145,180.82994498924,184.57466586874,352.00442866262,184.44530408774,341.13420621931,178.91464825825,212.37813348236,185.08173517802,181.52076269496
20.0149,186.49948207171,387.42370311253,176.35463933969,170.12209139892,169.24716544235,181.10790879375,184.01436265709,353.90727736993,184.85866400798,340.2361582372,178.82131598899,211.2374261536,184.48865675212,181.5314531892
30.0224,186.37346613546,386.62186751796,175.95888990789,170.06246258232,169.40753752795,180.75281033246,184.41551964891,353.32504787743,184.48614157527,337.60296994132,178.81201867443,210.50075842248,184.83780551015,180.64166899358
40.0298,185.25768924303,386.73451715882,176.14450336935,170.11746158451,169.12060843181,180.95631029259,183.97171354478,355.30015161187,184.77399800598,336.41247854377,178.64905630262,209.41605460642,184.04329970894,180.78443495951
50.0373,185.30227091634,385.31703910615,175.74504565573,169.85376172421,169.06755030342,180.44530814,184.24859365649,354.03004308969,184.25822532403,333.7078759331,178.88923027812,208.34671882484,184.44723097165,180.03462443656
60.0448,184.28521912351,385.17709497207,175.87280194585,169.91686290162,168.75834397956,180.57318823248,183.8547775783,356.22765719757,184.57224327019,331.99053929983,178.32839870716,207.67375858215,183.98397193094,180.06717459811
70.0522,184.2677689243,383.85690343176,175.46126241078,169.78124126921,168.84773235388,180.30837917564,184.30041891083,354.98412065113,184.21264207378,329.44082072572,178.70906986952,207.10817499601,184.48227742116,179.22378236069
80.0597,183.50294820717,383.88164405427,175.76147374297,169.82239074037,168.48906100287,180.33971139281,183.66826251746,356.19757421002,184.51984047856,326.95050097801,178.33334663421,206.05624301453,183.80411466847,179.3096254338
90.0671,183.61633466136,382.03499600958,175.36121854938,169.74300538815,168.73969977643,180.29008211752,184.38132854578,354.75303223747,184.06404785643,323.38010458664,178.54092015482,205.65300175635,184.07679119652,178.8121983326
100.0746,182.74896414343,382.23818834797,175.66031340963,169.53749750549,168.38038965187,180.19963326158,183.77123478955,356.44745451644,184.40889332004,320.13468524211,178.34970671561,204.68381765927,183.74773733105,178.90342654274
110.0821,182.90282868526,380.29377494014,175.15602695482,169.83751746159,168.60328169914,180.21083472853,184.3452224217,354.45551388446,184.23501495514,316.60899764481,178.49339611348,204.43365799138,184.08277181931,178.15265866209
120.0895,182.24087649402,380.66221069433,175.72562701862,169.71231291159,168.22564675822,179.97592282548,183.72264113305,356.06351739547,184.49316051845,312.87693106064,178.27508878337,203.63507903561,183.67553127866,178.38549603096
130.097,182.26984063745,378.32075019952,175.09422225767,169.65352225105,168.54132066433,179.98114486168,184.12088569719,354.43025853814,184.2333000997,309.27966947427,178.63676629025,203.2643301932,184.14911686137,177.8080098927
140.1044,181.41509960159,377.9808858739,175.58176163324,169.56715226502,168.14528106036,179.86446623615,183.51470177538,355.43588413661,184.37335992024,304.59937727037,178.30445712462,202.22932300814,183.3609106495,177.79959312298
150.1119,181.76661354582,374.51931364725,174.92104948363,170.18251845939,168.39144841904,179.83931276409,183.90700179533,352.61813756783,184.05559322034,300.58033611433,178.5212481545,202.32145138113,183.61528647183,177.25736965974
160.1193,180.62697211155,374.29760574621,175.27808126321,172.95781281181,167.77802618972,179.52738579287,183.36975862757,353.82552665177,184.09499501496,295.85413755938,178.22169905431,201.05783969344,183.16801562936,176.96501655431
170.1268,181.07442231076,370.92725458899,174.69488416604,178.60590700459,168.04906579368,179.34608945228,183.93433074008,351.29201244813,183.89862412762,291.95405373039,178.35641035873,201.26413060834,183.61544595511,176.8410387331
180.1343,180.62175298805,371.3244612929,175.14721480123,186.22111355019,167.76309485787,179.54803476042,183.63518850987,352.45934407916,184.15230309073,287.61051455032,178.01193088863,200.3622864442,183.43877835812,177.16989110056
190.1417,180.7593625498,368.55885873903,175.05482674748,195.05627619238,168.28968380709,179.94379335087,184.2315978456,350.68887647622,184.22699900299,284.34721168816,178.67231954032,200.71028261217,183.5436386109,176.82133312059
