Time::Relative Time!!R,Channel1_R1_Area::EGFP_R1_Area!!R,Channel1_R1_IntensityMean::EGFP_R1_IntensityMean!!R,Channel1_R1_IntensitySum1::EGFP_R1_IntensitySum1!!R,Channel1_R1_IntensityMaximum::EGFP_R1_IntensityMaximum!!R,Channel1_R2_Area::EGFP_R2_Area!!R,Channel1_R2_IntensityMean::EGFP_R2_IntensityMean!!R,Channel1_R2_IntensitySum1::EGFP_R2_IntensitySum1!!R,Channel1_R2_IntensityMaximum::EGFP_R2_IntensityMaximum!!R,Channel1_R3_Area::EGFP_R3_Area!!R,Channel1_R3_IntensityMean::EGFP_R3_IntensityMean!!R,Channel1_R3_IntensitySum1::EGFP_R3_IntensitySum1!!R,Channel1_R3_IntensityMaximum::EGFP_R3_IntensityMaximum!!R,Channel1_R4_Area::EGFP_R4_Area!!R,Channel1_R4_IntensityMean::EGFP_R4_IntensityMean!!R,Channel1_R4_IntensitySum1::EGFP_R4_IntensitySum1!!R,Channel1_R4_IntensityMaximum::EGFP_R4_IntensityMaximum!!R,Channel1_R5_Area::EGFP_R5_Area!!R,Channel1_R5_IntensityMean::EGFP_R5_IntensityMean!!R,Channel1_R5_IntensitySum1::EGFP_R5_IntensitySum1!!R,Channel1_R5_IntensityMaximum::EGFP_R5_IntensityMaximum!!R,Channel1_R6_Area::EGFP_R6_Area!!R,Channel1_R6_IntensityMean::EGFP_R6_IntensityMean!!R,Channel1_R6_IntensitySum1::EGFP_R6_IntensitySum1!!R,Channel1_R6_IntensityMaximum::EGFP_R6_IntensityMaximum!!R,Channel1_R7_Area::EGFP_R7_Area!!R,Channel1_R7_IntensityMean::EGFP_R7_IntensityMean!!R,Channel1_R7_IntensitySum1::EGFP_R7_IntensitySum1!!R,Channel1_R7_IntensityMaximum::EGFP_R7_IntensityMaximum!!R,Channel1_R8_Area::EGFP_R8_Area!!R,Channel1_R8_IntensityMean::EGFP_R8_IntensityMean!!R,Channel1_R8_IntensitySum1::EGFP_R8_IntensitySum1!!R,Channel1_R8_IntensityMaximum::EGFP_R8_IntensityMaximum!!R,Channel1_R9_Area::EGFP_R9_Area!!R,Channel1_R9_IntensityMean::EGFP_R9_IntensityMean!!R,Channel1_R9_IntensitySum1::EGFP_R9_IntensitySum1!!R,Channel1_R9_IntensityMaximum::EGFP_R9_IntensityMaximum!!R,Channel1_R10_Area::EGFP_R10_Area!!R,Channel1_R10_IntensityMean::EGFP_R10_IntensityMean!!R,Channel1_R10_IntensitySum1::EGFP_R10_IntensitySum1!!R,Channel1_R10_IntensityMaximum::EGFP_R10_IntensityMaximum!!R,Channel1_R11_Area::EGFP_R11_Area!!R,Channel1_R11_IntensityMean::EGFP_R11_IntensityMean!!R,Channel1_R11_IntensitySum1::EGFP_R11_IntensitySum1!!R,Channel1_R11_IntensityMaximum::EGFP_R11_IntensityMaximum!!R,Channel1_R12_Area::EGFP_R12_Area!!R,Channel1_R12_IntensityMean::EGFP_R12_IntensityMean!!R,Channel1_R12_IntensitySum1::EGFP_R12_IntensitySum1!!R,Channel1_R12_IntensityMaximum::EGFP_R12_IntensityMaximum!!R,Channel1_R13_Area::EGFP_R13_Area!!R,Channel1_R13_IntensityMean::EGFP_R13_IntensityMean!!R,Channel1_R13_IntensitySum1::EGFP_R13_IntensitySum1!!R,Channel1_R13_IntensityMaximum::EGFP_R13_IntensityMaximum!!R,Channel1_R14_Area::EGFP_R14_Area!!R,Channel1_R14_IntensityMean::EGFP_R14_IntensityMean!!R,Channel1_R14_IntensitySum1::EGFP_R14_IntensitySum1!!R,Channel1_R14_IntensityMaximum::EGFP_R14_IntensityMaximum!!R
"Ms",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,10604.75,187.66689243028,4710439,275,10587.85,387.17378292099,9702575,537,10595.8775,176.65548865585,4430343,250,10585.7375,168.44553981241,4220403,237,10582.78,167.48435004791,4195148,243,10598.835,179.78306625209,4510038,249,10589.9625,184.27819668861,4618933,242,10589.54,351.81547239068,8817903,503,10594.1875,184.42440677966,4624442,266,10584.0475,340.82815057283,8538086,545,10588.2725,176.81912134392,4431264,245,10584.47,213.6833386556,5353195,291,10596.7225,184.81743152187,4635406,255,10591.6525,182.6326538753,4578418,255
10.0075,10604.75,187.42533864542,4704376,267,10587.85,387.08212290503,9700278,543,10595.8775,176.17345189202,4418254,253,10585.7375,170.1467970465,4263028,229,10582.78,169.475966145,4245034,238,10598.835,180.82994498924,4536300,249,10589.9625,184.57466586874,4626364,251,10589.54,352.00442866262,8822639,528,10594.1875,184.44530408774,4624966,265,10584.0475,341.13420621931,8545753,524,10588.2725,178.91464825825,4483780,251,10584.47,212.37813348236,5320497,299,10596.7225,185.08173517802,4642035,261,10591.6525,181.52076269496,4550544,266
20.0149,10604.75,186.49948207171,4681137,249,10587.85,387.42370311253,9708838,568,10595.8775,176.35463933969,4422798,271,10585.7375,170.12209139892,4262409,237,10582.78,169.24716544235,4239303,242,10598.835,181.10790879375,4543273,244,10589.9625,184.01436265709,4612320,247,10589.54,353.90727736993,8870332,512,10594.1875,184.85866400798,4635331,271,10584.0475,340.2361582372,8523256,552,10588.2725,178.82131598899,4481441,243,10584.47,211.2374261536,5291920,285,10596.7225,184.48865675212,4627160,249,10591.6525,181.5314531892,4550812,253
30.0224,10604.75,186.37346613546,4677974,256,10587.85,386.62186751796,9688744,539,10595.8775,175.95888990789,4412873,249,10585.7375,170.06246258232,4260915,238,10582.78,169.40753752795,4243320,249,10598.835,180.75281033246,4534365,271,10589.9625,184.41551964891,4622375,263,10589.54,353.32504787743,8855739,509,10594.1875,184.48614157527,4625990,272,10584.0475,337.60296994132,8457292,564,10588.2725,178.81201867443,4481208,243,10584.47,210.50075842248,5273465,292,10596.7225,184.83780551015,4635917,255,10591.6525,180.64166899358,4528506,266
40.0298,10604.75,185.25768924303,4649968,265,10587.85,386.73451715882,9691567,545,10595.8775,176.14450336935,4417528,258,10585.7375,170.11746158451,4262293,236,10582.78,169.12060843181,4236133,257,10598.835,180.95631029259,4539470,249,10589.9625,183.97171354478,4611251,258,10589.54,355.30015161187,8905243,512,10594.1875,184.77399800598,4633208,276,10584.0475,336.41247854377,8427469,525,10588.2725,178.64905630262,4477124,241,10584.47,209.41605460642,5246291,280,10596.7225,184.04329970894,4615990,258,10591.6525,180.78443495951,4532085,267
50.0373,10604.75,185.30227091634,4651087,249,10587.85,385.31703910615,9656045,531,10595.8775,175.74504565573,4407510,260,10585.7375,169.85376172421,4255686,236,10582.78,169.06755030342,4234804,247,10598.835,180.44530814,4526651,253,10589.9625,184.24859365649,4618191,254,10589.54,354.03004308969,8873409,514,10594.1875,184.25822532403,4620275,262,10584.0475,333.7078759331,8359716,517,10588.2725,178.88923027812,4483143,248,10584.47,208.34671882484,5219502,290,10596.7225,184.44723097165,4626121,253,10591.6525,180.03462443656,4513288,261
60.0448,10604.75,184.28521912351,4625559,264,10587.85,385.17709497207,9652538,543,10595.8775,175.87280194585,4410714,256,10585.7375,169.91686290162,4257267,236,10582.78,168.75834397956,4227059,251,10598.835,180.57318823248,4529859,253,10589.9625,183.8547775783,4608320,269,10589.54,356.22765719757,8928490,515,10594.1875,184.57224327019,4628149,275,10584.0475,331.99053929983,8316695,560,10588.2725,178.32839870716,4469088,245,10584.47,207.67375858215,5202643,282,10596.7225,183.98397193094,4614502,258,10591.6525,180.06717459811,4514104,261
70.0522,10604.75,184.2677689243,4625121,260,10587.85,383.85690343176,9619454,529,10595.8775,175.46126241078,4400393,246,10585.7375,169.78124126921,4253869,240,10582.78,168.84773235388,4229298,238,10598.835,180.30837917564,4523216,255,10589.9625,184.30041891083,4619490,251,10589.54,354.98412065113,8897322,511,10594.1875,184.21264207378,4619132,261,10584.0475,329.44082072572,8252822,501,10588.2725,178.70906986952,4478628,243,10584.47,207.10817499601,5188474,282,10596.7225,184.48227742116,4627000,252,10591.6525,179.22378236069,4492961,264
80.0597,10604.75,183.50294820717,4605924,266,10587.85,383.88164405427,9620074,531,10595.8775,175.76147374297,4407922,253,10585.7375,169.82239074037,4254900,236,10582.78,168.48906100287,4220314,240,10598.835,180.33971139281,4524002,256,10589.9625,183.66826251746,4603645,266,10589.54,356.19757421002,8927736,514,10594.1875,184.51984047856,4626835,277,10584.0475,326.95050097801,8190437,519,10588.2725,178.33334663421,4469212,243,10584.47,206.05624301453,5162121,267,10596.7225,183.80411466847,4609991,273,10591.6525,179.3096254338,4495113,259
