Time::Relative Time!!R,Channel1_R1_Area::EGFP_R1_Area!!R,Channel1_R1_IntensityMean::EGFP_R1_IntensityMean!!R,Channel1_R1_IntensitySum1::EGFP_R1_IntensitySum1!!R,Channel1_R1_IntensityMaximum::EGFP_R1_IntensityMaximum!!R,Channel1_R2_Area::EGFP_R2_Area!!R,Channel1_R2_IntensityMean::EGFP_R2_IntensityMean!!R,Channel1_R2_IntensitySum1::EGFP_R2_IntensitySum1!!R,Channel1_R2_IntensityMaximum::EGFP_R2_IntensityMaximum!!R,Channel1_R3_Area::EGFP_R3_Area!!R,Channel1_R3_IntensityMean::EGFP_R3_IntensityMean!!R,Channel1_R3_IntensitySum1::EGFP_R3_IntensitySum1!!R,Channel1_R3_IntensityMaximum::EGFP_R3_IntensityMaximum!!R,Channel1_R4_Area::EGFP_R4_Area!!R,Channel1_R4_IntensityMean::EGFP_R4_IntensityMean!!R,Channel1_R4_IntensitySum1::EGFP_R4_IntensitySum1!!R,Channel1_R4_IntensityMaximum::EGFP_R4_IntensityMaximum!!R,Channel1_R5_Area::EGFP_R5_Area!!R,Channel1_R5_IntensityMean::EGFP_R5_IntensityMean!!R,Channel1_R5_IntensitySum1::EGFP_R5_IntensitySum1!!R,Channel1_R5_IntensityMaximum::EGFP_R5_IntensityMaximum!!R,Channel1_R6_Area::EGFP_R6_Area!!R,Channel1_R6_IntensityMean::EGFP_R6_IntensityMean!!R,Channel1_R6_IntensitySum1::EGFP_R6_IntensitySum1!!R,Channel1_R6_IntensityMaximum::EGFP_R6_IntensityMaximum!!R
"Ms",,,,,,,,,,,,,,,,,,,,,,,,
0,2614.113125,205.14012687381,5077013,279,2614.43,202.2574741435,5006277,278,2614.535625,209.80547812386,5193315,288,2614.113125,203.77073821165,5043122,283,2612.95125,170.92594389199,4228366,244,2615.48625,209.24699135773,5181374,284
10.0075,2614.113125,204.51808153865,5061618,282,2614.43,202.66976405947,5016482,279,2614.535625,208.81468912859,5168790,300,2614.113125,202.5537193422,5013002,282,2612.95125,171.02453714933,4230805,246,2615.48625,207.37900815766,5135119,281
20.0149,2614.113125,203.68742171401,5041060,281,2614.43,201.69129767292,4992263,271,2614.535625,207.2050660526,5128947,277,2614.113125,201.51198028203,4987220,279,2612.95125,170.35184736034,4214164,231,2615.48625,205.77348356353,5095363,275
30.0224,2614.113125,203.11786334801,5026964,283,2614.43,200.33706367162,4958743,275,2614.535625,206.74079909506,5117455,288,2614.113125,200.90181421472,4972119,270,2612.95125,170.38750101059,4215046,234,2615.48625,204.28685081981,5058551,287
40.0298,2614.113125,202.522485757,5012229,278,2614.43,199.3457498384,4934206,272,2614.535625,205.11671312568,5077254,279,2614.113125,199.78871873611,4944571,268,2612.95125,169.81170668607,4200802,241,2615.48625,202.61206687667,5017080,272
50.0373,2614.113125,201.90011717645,4996826,277,2614.43,197.80773270847,4896137,274,2614.535625,204.6679998384,5066147,283,2614.113125,199.24748474686,4931176,276,2612.95125,169.97740318538,4204901,237,2615.48625,201.3263872062,4985244,273
60.0448,2614.113125,201.68511859065,4991505,278,2614.43,197.15295733678,4879930,273,2614.535625,203.39805276128,5034712,268,2614.113125,198.5605883066,4914176,278,2612.95125,169.44037513138,4191616,236,2615.48625,200.15842823681,4956323,271
70.0522,2614.113125,201.26348539335,4981070,308,2614.43,195.84562863607,4847571,255,2614.535625,203.16292974589,5028892,277,2614.113125,198.04937573235,4901524,269,2612.95125,169.90868299782,4203201,249,2615.48625,198.8901946531,4924919,271
80.0597,2614.113125,201.11034789284,4977280,272,2614.43,195.34918390433,4835283,256,2614.535625,201.8974669737,4997568,282,2614.113125,197.25883874096,4881959,268,2612.95125,169.15304390007,4184508,249,2615.48625,197.983321218,4902463,265
